广西IPTV单播,#genre#
安徽卫视高清,rtsp://10.255.136.86/PLTV/88888888/224/3221226050/10000100000000060000000001597137_0.smil
甘肃卫视高清,rtsp://10.255.136.86/PLTV/88888888/224/3221226062/10000100000000060000000001737483_0.smil
江西卫视高清,rtsp://10.255.136.86/PLTV/88888888/224/3221226059/10000100000000060000000001676004_0.smil
四川卫视高清,rtsp://10.255.136.86/PLTV/88888888/224/3221226058/10000100000000060000000001874769_0.smil
河北卫视高清,rtsp://10.255.136.86/PLTV/88888888/224/3221225827/10000100000000060000000000837404_0.smil
贵州卫视高清,rtsp://10.255.136.86/PLTV/88888888/224/3221225819/10000100000000060000000000654507_0.smil
甘肃卫视高清,rtsp://10.255.136.86/PLTV/88888888/224/3221226062/10000100000000060000000001737483_0.smil
江西卫视高清,rtsp://10.255.136.86/PLTV/88888888/224/3221226059/10000100000000060000000001676004_0.smil
河南卫视,rtsp://10.255.136.86/PLTV/88888888/224/3221225508/10000100000000060000000000081837_0.smil
南方卫视,rtsp://10.255.136.86/PLTV/88888888/224/3221225558/10000100000000060000000000081887_0.smil
云南卫视,rtsp://10.255.136.86/PLTV/88888888/224/3221225489/10000100000000060000000000081818_0.smil
新疆卫视,rtsp://10.255.136.86/PLTV/88888888/224/3221225519/10000100000000060000000000081848_0.smil
重庆卫视,rtsp://10.255.136.86/PLTV/88888888/224/3221225506/10000100000000060000000000081835_0.smil
海南卫视,rtsp://10.255.136.86/PLTV/88888888/224/3221225511/10000100000000060000000000081840_0.smil
内蒙古卫视,rtsp://10.255.136.86/PLTV/88888888/224/3221225520/10000100000000060000000000081849_0.smil
西藏卫视,rtsp://10.255.136.86/PLTV/88888888/224/3221225522/10000100000000060000000000081851_0.smil
吉林卫视高清,rtsp://10.255.136.86/PLTV/88888888/224/3221226089/10000100000000060000000002293644_0.smil
宁夏卫视,rtsp://10.255.136.86/PLTV/88888888/224/3221225505/10000100000000060000000000081834_0.smil
兵团卫视,rtsp://10.255.136.86/PLTV/88888888/224/3221226049/10000100000000060000000001597135_0.smil
金鹰纪实高清,rtsp://10.255.136.86/PLTV/88888888/224/3221225815/10000100000000060000000000421256_0.smil
CETV-1高清,rtsp://10.255.136.86/PLTV/88888888/224/3221225836/10000100000000060000000000421211_0.smil
CETV-2,rtsp://10.255.136.86/PLTV/88888888/224/3221225942/10000100000000060000000001442005_0.smil
金鹰卡通高清,rtsp://10.255.136.86/PLTV/88888888/224/3221226076/10000100000000060000000002343740_0.smil
嘉佳卡通,rtsp://10.255.136.86/PLTV/88888888/224/3221225612/10000100000000060000000000084015_0_mdn_5.smil
北京纪实科教高清,rtsp://10.255.136.86/PLTV/88888888/224/3221226549/10000100000000060000000003726947_0.smil
游戏风云,rtsp://10.255.136.86/PLTV/88888888/224/3221225574/10000100000000060000000000081903_0.smil
生活时尚,rtsp://10.255.136.86/PLTV/88888888/224/3221225568/10000100000000060000000000081897_0.smil
都市剧场,rtsp://10.255.136.86/PLTV/88888888/224/3221225566/10000100000000060000000000081895_0.smil
精彩影视高清,rtsp://10.255.136.86/PLTV/88888888/224/3221226087/10000100000000060000000002587990_0.smil
求索纪录高清,rtsp://10.255.136.86/PLTV/88888888/224/3221226095/10000100000000060000000002587989_0.smil
CCTV-4K超高清,rtsp://10.255.136.86/PLTV/88888888/224/3221226527/10000100000000060000000003726946_0.smil
新动漫,rtsp://10.255.136.86/PLTV/88888888/224/3221225932/10000100000000060000000001428834_0.smil
广西IPTV1,rtsp://10.255.136.86/PLTV/88888888/224/3221225562/10000100000000060000000000081891_0.smil
广西IPTV2,rtsp://10.255.136.86/PLTV/88888888/224/3221225824/10000100000000060000000000084022_0_mdn_1.smil
广西IPTV5,rtsp://10.255.136.86/PLTV/88888888/224/3221225564/10000100000000060000000000081893_0.smil
广西IPTV7,rtsp://10.255.136.86/PLTV/88888888/224/3221225897/10000100000000060000000001409751_0.smil
广西IPTV9,rtsp://10.255.136.86/PLTV/88888888/224/3221226066/10000100000000060000000001971028_0.smil
广西IPTV10,rtsp://10.255.136.86/PLTV/88888888/224/3221226071/10000100000000060000000001972802_0.smil
广西IPTV12,rtsp://10.255.136.86/PLTV/88888888/224/3221225598/10000100000000060000000000084029_0.smil
广西IPTV13,rtsp://10.255.136.86/PLTV/88888888/224/3221225599/10000100000000060000000000084030_0.smil
2022年江苏跨年演唱会-4K,rtsp://10.255.136.86/PLTV/88888888/224/3221226078/10000100000000060000000002343742_0.smil
2022年江苏跨年演唱会-高清2,rtsp://10.255.136.86/PLTV/88888888/224/3221226081/10000100000000060000000002343744_0.smil
爱综艺,rtsp://10.255.136.86/PLTV/88888888/224/3221225525/10000100000000060000000000081854_0.smil
IPTV谍战剧场,rtsp://10.255.136.86/PLTV/88888888/224/3221225543/10000100000000060000000000081872_0.smil
IPTV野外,rtsp://10.255.136.86/PLTV/88888888/224/3221225544/10000100000000060000000000081873_0.smil
经典电影,rtsp://10.255.136.86/PLTV/88888888/224/3221225530/10000100000000060000000000081859_0.smil
少儿动画,rtsp://10.255.136.86/PLTV/88888888/224/3221225524/10000100000000060000000000081853_0.smil
爱体育高清,rtsp://10.255.136.86/PLTV/88888888/224/3221226086/10000100000000060000000002245676_0.smil
IPTV法治,rtsp://10.255.136.86/PLTV/88888888/224/3221225545/10000100000000060000000000081874_0.smil
热播剧场,rtsp://10.255.136.86/PLTV/88888888/224/3221225529/10000100000000060000000000081858_0.smil
魅力时尚,rtsp://10.255.136.86/PLTV/88888888/224/3221225527/10000100000000060000000000081856_0.smil
IPTV相声小品,rtsp://10.255.136.86/PLTV/88888888/224/3221225546/10000100000000060000000000081875_0.smil
广西IPTV40,rtsp://10.255.136.86/PLTV/88888888/224/3221226428/10000100000000060000000002864278_0.smil
广西IPTV41,rtsp://10.255.136.86/PLTV/88888888/224/3221226430/10000100000000060000000002864279_0.smil
广西IPTV44,rtsp://10.255.136.86/PLTV/88888888/224/3221226436/10000100000000060000000002864282_0.smil
广西IPTV45,rtsp://10.255.136.86/PLTV/88888888/224/3221226431/10000100000000060000000002864283_0.smil
广西IPTV46,rtsp://10.255.136.86/PLTV/88888888/224/3221226434/10000100000000060000000002864284_0.smil
广西IPTV48,rtsp://10.255.136.86/PLTV/88888888/224/3221226439/10000100000000060000000002864286_0.smil
广西IPTV100,rtsp://10.255.136.86/PLTV/88888888/224/3221226444/10000100000000060000000003233818_0.smil
广西IPTV102,rtsp://10.255.136.86/PLTV/88888888/224/3221226526/10000100000000060000000003706297_0.smil
